author,bvid,title,play,video_review,favorites,review,date
GAKA是永远的太阳,BV1hN4y1J7is,第二次南北战争？白宫威胁称，如果德克萨斯州国民警卫队不撤军并解除边境封锁，将对他们采取军事行动。大量非法移民准备冲击边境，各路人马齐聚德州，国民警卫队严阵以待!,312485,566,742,1875,1706325292
星辰趣味屋,BV1tZ421Y7ng,雷劈三次，摔断一腿，看齐印度，美国重返月球如何定义成功？,932282,5898,8291,1853,1713171600
戏京同志,BV1tp42117r6,"局势大逆转！<em class=""keyword"">特朗普</em>遥遥领先！逼得三位总统同台唱戏",2365543,3785,12858,1797,1711883731
polyglot_maniac,BV18C41147qy,"<em class=""keyword"">川普</em>真的要胜了?! 而且差距越来越大！！2024总统竞选  0204（精制中英字幕）每日一听 英语学习 英语听力 NBC NIGHTLY NEWS",787300,298,1191,1728,1707181200
现实和梦境,BV1Ye411E7jC,1月27日早上重要信息：美国内乱持续，德克萨斯州已准备好和拜登政府发生冲突！美国多州支持德州对抗联邦政府！,375494,452,757,1723,1706331204
波士顿圆脸,BV1xC411E7Tp,"MAGA小将争副总统自爆杀爱狗，<em class=""keyword"">懂王</em>：她是不是有病？",951801,4806,2661,1711,1714909306
戏京同志,BV1FC41147Wh,2024王炸!美国百官行述，我来打开魔盒揭露内幕【百官行述预告】,3442103,6920,12698,1680,1707199624
谦虚先生无悔,BV1F64y1K7B3,爱泼斯坦萝莉岛，没想到只有两个人没有翻车,1314814,368,5971,1671,1704620392
谦虚先生无悔,BV1F64y1K7B3,爱泼斯坦萝莉岛，没想到只有两个人没有翻车,1314814,368,5971,1671,1704620392
央视网,BV18m411k7KK,"<em class=""keyword"">特朗普</em>：我卑微地请求各位捐款 哪怕5块钱也行",454565,89,1975,1652,1711005409
硬核资本论,BV1w94y1T7wP,特朗普赢了，美国国内的情况却越来越复杂了！,1162398,979,8423,1651,1705915920
白宫茶话会,BV1tH4y1K7LE,"川普脱口秀4月14日：无怨无悔，<em class=""keyword"">懂王</em>受难只为苍生！",763625,5971,7226,1638,1713175163
白宫茶话会,BV1tH4y1K7LE,"<em class=""keyword"">川普</em>脱口秀4月14日：无怨无悔，懂王受难只为苍生！",763625,5971,7226,1638,1713175163
白宫茶话会,BV1tH4y1K7LE,川普脱口秀4月14日：无怨无悔，懂王受难只为苍生！,763625,5971,7226,1638,1713175163
戏京同志,BV1sC411z7oN,开年第十二炸，得州国中国只是幻想？,2138992,3740,9766,1635,1706698797
油管吃瓜群众茶话会,BV1wx4y1y7AY,"<em class=""keyword"">特朗普</em>向霉霉单方面宣战 道德绑架霉霉得“忠诚&quot;",219560,273,572,1633,1707787613
油管吃瓜群众茶话会,BV1wx4y1y7AY,特朗普向霉霉单方面宣战 道德绑架霉霉得“忠诚&quot;,219560,273,572,1633,1707787613
林霖心医,BV1qy411z7Mh,白狱化神的网络圣戦，监狱和亲的口袋之恋,180356,2744,1785,1621,1719050700
送杯子,BV15m42157rf,2020年前的世界政治，愿世界和平,1015058,286,10450,1593,1718514990
麻薯波比呀,BV1XE421P7Z7,群英荟萃？萝卜开会！懂王睡王大选辩论大赏,1482597,5805,6711,1590,1719629950
麻薯波比呀,BV1XE421P7Z7,群英荟萃？萝卜开会！懂王睡王大选辩论大赏,1482597,5805,6711,1590,1719629950
央视新闻,BV1Mi421v7N7,美国2024年总统选举首场电视辩论举行,1625226,1214,9487,1561,1719557730
